date,time,symbol,side,entry_price,exit_price,shares,pnl_usd,pnl_pct,setup_type,notes
2026-07-15,13:05,BTCUSDT,long,64557.22,65137.41,0.3059895,137.85,0.551,B,paper TP1 tf:15 regime:TRENDING fees:39.69
2026-07-19,08:15,BTCUSDT,long,64557.22,64672.8,0.3059895,-4.18,-0.017,B,paper strategy_exit tf:15 regime:TRENDING fees:39.54
